t(sec)	艙壓p(kg/cm^2)	海平面推力（kgf)	真空推力（kgf)	質流率(kg/sec)
0	106.7	6295.9	6564.9	24.4
1	166.7	9889	10158.5	38.2
2	183.1	10919	11187.9	42
3	201.6	12081	12354.4	46.5
4	113.2	6665	6933	26.9
5	46.2	2550	2818	12
6	32.8	1733	2002	8.9
7	30.6	1609	1878	8.5
8	29.1	1522	1791	8.2
9	29	1525	1794	8.2
10	30	1568	1837	8.4
11	30	1698	1867	8.6
12	30	1621	1890	8.7
13	31	1655	1924	8.9
14	31	1693	1962	9
15	32	1733	2002	9.3
16	32	1772	2041	9.5
17	32	1792	2061	9.6
18	30	1615	1924	9
19	9.4	410	679	2.9
20	4.7	132	401	1.4
21	3.5	59	328	1.1
22	2.6	-1.2	268	0.8
23	1.9	-52	217	0.6
24	1.4	-100	169	0.4
25	0.9	-149	120	0.3
