1:CA(ON)										
0	0.2	0.5	0.8	1.2	1.5	2	2.5	3	3.5
0	0.27 	0.28 	0.32 	0.68 	0.55 	0.46 	0.40 	0.35 	0.32 
2	0.28 	0.28 	0.32 	0.68 	0.56 	0.46 	0.40 	0.36 	0.32 
5	0.32 	0.32 	0.35 	0.69 	0.56 	0.47 	0.41 	0.36 	0.32 
10	0.47 	0.46 	0.41 	0.71 	0.58 	0.49 	0.42 	0.37 	0.34 
15	0.67 	0.65 	0.41 	0.73 	0.59 	0.52 	0.44 	0.40 	0.36 
20	0.90 	0.87 	0.36 	0.74 	0.61 	0.54 	0.47 	0.42 	0.39 
25	1.15 	1.12 	0.31 	0.76 	0.64 	0.58 	0.49 	0.45 	0.41 
30	1.40 	1.36 	0.29 	0.79 	0.67 	0.62 	0.52 	0.48 	0.45 
35	1.79 	1.75 	0.34 	0.83 	0.71 	0.67 	0.58 	0.54 	0.53 
40	2.02 	1.93 	0.27 	0.87 	0.75 	0.72 	0.62 	0.60 	0.59 
