8:CNFAL							
0	0.2	0.5	0.8	1.2	1.5	2	2.5	3	3.5
0	0	0	0	0	0	0	0	0	0
2	0.11	0.11	0.12	0.06	0.03	0.01	0.01	0.01	0.01
5	0.47	0.45	0.27	0.16	0.08	0.04	0.04	0.04	0.04
10	0.97	0.91	0.35	0.2	0.08	0.03	0.04	0.04	0.04
15	1.33	1.24	0.06	0.13	0.02	0	0.01	0.01	0.04
20	1.65	1.53	-0.3	-0.04	-0.07	0	-0.02	-0.02	0.03
25	1.96	1.8	-0.66	-0.31	-0.17	-0.11	-0.04	-0.04	0.03
30	2.31	2.12	-0.93	-0.6	-0.21	-0.13	-0.02	-0.02	0.07
35	3.6	3.43	0	0.32	0.68	0.46	0.46	0.46	0.47
40	3.99	3.81	-0.06	1.28	0.75	0.51	0.53	0.53	0.61
