  t(s)       AF(deg)     apha(deg)    phi_c(deg)        V(m/s)       Cs(m/s)            Ma      mass(kg)
  0.00          0.00          0.00          0.00          0.00          0.00          0.00        632.30
  0.01          5.41          0.00          0.00          0.94        340.29          0.20        632.05
  0.02          5.40          0.00          0.00          1.89        340.29          0.20        631.80
  0.03          5.38          0.00          0.00          2.84        340.29          0.20        631.54
  0.04          5.36          0.00          0.00          3.80        340.29          0.20        631.29
  0.05          5.34          0.00          0.00          4.77        340.29          0.20        631.03
  0.06          5.33          0.00          0.00          5.74        340.29          0.20        630.77
  0.07          5.31          0.00          0.00          6.72        340.29          0.20        630.51
  0.08          5.29          0.00          0.00          7.70        340.29          0.20        630.25
  0.09          5.27          0.00          0.00          8.69        340.29          0.20        629.99
  0.10          5.26          0.00          0.00          9.69        340.29          0.20        629.73
  0.11          5.24          0.00          0.00         10.69        340.29          0.20        629.46
  0.12          5.22          0.00          0.00         11.70        340.29          0.20        629.19
  0.13          5.20          0.00          0.00         12.71        340.29          0.20        628.93
  0.14          5.19          0.00          0.00         13.73        340.29          0.20        628.66
  0.15          5.17          0.00          0.00         14.76        340.29          0.20        628.39
  0.16          5.15          0.00          0.00         15.79        340.29          0.20        628.11
  0.17          5.13          0.00          0.00         16.83        340.29          0.20        627.84
  0.18          5.11          0.00          0.00         17.87        340.29          0.20        627.57
  0.19          5.10          0.00          0.00         18.92        340.29          0.20        627.29
  0.20          5.08          0.00          0.00         19.98        340.29          0.20        627.01
  0.21          5.06          0.00          0.00         21.04        340.29          0.20        626.73
  0.22          5.04          0.00          0.00         22.11        340.29          0.20        626.45
  0.23          5.02          0.00          0.00         23.19        340.29          0.20        626.17
  0.24          5.00          0.00          0.00         24.27        340.29          0.20        625.89
  0.25          4.98          0.00          0.00         25.35        340.29          0.20        625.60
  0.26          4.95          0.00          0.00         26.45        340.29          0.20        625.31
  0.27          4.93          0.00          0.00         27.54        340.29          0.20        625.03
  0.28          4.91          0.00          0.00         28.65        340.29          0.20        624.74
  0.29          4.89          0.00          0.00         29.76        340.29          0.20        624.45
  0.30          4.86          0.00          0.00         30.88        340.29          0.20        624.15
  0.31          4.84          0.00          0.00         32.00        340.28          0.20        623.86
  0.32          4.81          0.00          0.00         33.13        340.28          0.20        623.57
  0.33          4.79          0.00          0.00         34.27        340.28          0.20        623.27
  0.34          4.76          0.00          0.00         35.41        340.28          0.20        622.97
  0.35          4.73          0.00          0.00         36.56        340.28          0.20        622.67
  0.36          4.70          0.00          0.00         37.71        340.28          0.20        622.37
  0.37          4.67          0.00          0.00         38.87        340.28          0.20        622.07
  0.38          4.64          0.00          0.00         40.04        340.28          0.20        621.77
  0.39          4.61          0.00          0.00         41.21        340.28          0.20        621.46
  0.40          4.58          0.00          0.00         42.39        340.28          0.20        621.16
  0.41          4.55          0.00          0.00         43.58        340.28          0.20        620.85
  0.42          4.51          0.00          0.00         44.77        340.28          0.20        620.54
  0.43          4.47          0.00          0.00         45.97        340.28          0.20        620.23
  0.44          4.44          0.00          0.00         47.17        340.28          0.20        619.92
  0.45          4.40          0.00          0.00         48.38        340.28          0.20        619.60
  0.46          4.36          0.00          0.00         49.60        340.28          0.20        619.29
  0.47          4.31          0.00          0.00         50.82        340.28          0.20        618.97
