  t(s)     Range(km)         H(km)       AF(deg)        V(m/s)            Ma      mass(kg)
  0.00          0.00          0.00          0.00          0.00          0.00        632.30
  0.01          0.00          0.00          5.41          0.94          0.20        632.05
  0.02          0.00          0.00          5.40          1.89          0.20        631.80
  0.03          0.00          0.00          5.38          2.84          0.20        631.54
  0.04          0.00          0.00          5.36          3.80          0.20        631.29
  0.05          0.00          0.00          5.34          4.77          0.20        631.03
  0.06          0.00          0.00          5.33          5.74          0.20        630.77
  0.07          0.00          0.00          5.31          6.72          0.20        630.51
  0.08          0.00          0.00          5.29          7.70          0.20        630.25
  0.09          0.00          0.00          5.27          8.69          0.20        629.99
  0.10          0.00          0.00          5.26          9.69          0.20        629.73
  0.11          0.00          0.00          5.24         10.69          0.20        629.46
  0.12          0.00          0.00          5.22         11.70          0.20        629.19
  0.13          0.00          0.00          5.20         12.71          0.20        628.93
  0.14          0.00          0.00          5.19         13.73          0.20        628.66
  0.15          0.00          0.00          5.17         14.76          0.20        628.39
  0.16          0.00          0.00          5.15         15.79          0.20        628.11
  0.17          0.00          0.00          5.13         16.83          0.20        627.84
  0.18          0.00          0.00          5.11         17.87          0.20        627.57
  0.19          0.00          0.00          5.10         18.92          0.20        627.29
  0.20          0.00          0.00          5.08         19.98          0.20        627.01
  0.21          0.00          0.00          5.06         21.04          0.20        626.73
  0.22          0.00          0.00          5.04         22.11          0.20        626.45
  0.23          0.00          0.00          5.02         23.19          0.20        626.17
  0.24          0.00          0.00          5.00         24.27          0.20        625.89
  0.25          0.00          0.00          4.98         25.35          0.20        625.60
  0.26          0.00          0.00          4.95         26.45          0.20        625.31
  0.27          0.00          0.00          4.93         27.54          0.20        625.03
  0.28          0.00          0.00          4.91         28.65          0.20        624.74
  0.29          0.00          0.00          4.89         29.76          0.20        624.45
  0.30          0.00          0.00          4.86         30.88          0.20        624.15
  0.31          0.00          0.00          4.84         32.00          0.20        623.86
  0.32          0.00          0.00          4.81         33.13          0.20        623.57
  0.33          0.01          0.00          4.79         34.27          0.20        623.27
  0.34          0.01          0.00          4.76         35.41          0.20        622.97
  0.35          0.01          0.00          4.73         36.56          0.20        622.67
  0.36          0.01          0.00          4.70         37.71          0.20        622.37
  0.37          0.01          0.00          4.67         38.87          0.20        622.07
  0.38          0.01          0.00          4.64         40.04          0.20        621.77
  0.39          0.01          0.00          4.61         41.21          0.20        621.46
  0.40          0.01          0.00          4.58         42.39          0.20        621.16
  0.41          0.01          0.00          4.55         43.58          0.20        620.85
  0.42          0.01          0.00          4.51         44.77          0.20        620.54
  0.43          0.01          0.00          4.47         45.97          0.20        620.23
  0.44          0.01          0.00          4.44         47.17          0.20        619.92
  0.45          0.01          0.00          4.40         48.38          0.20        619.60
  0.46          0.01          0.00          4.36         49.60          0.20        619.29
  0.47          0.01          0.00          4.31         50.82          0.20        618.97
  0.48          0.01          0.00          4.27         52.05          0.20        618.66
  0.49          0.01          0.01          4.23         53.29          0.20        618.34
  0.50          0.01          0.01          4.18         54.53          0.20        618.02
  0.51          0.01          0.01          4.13         55.78          0.20        617.69
  0.52          0.01          0.01          4.08         57.03          0.20        617.37
  0.53          0.01          0.01          4.03         58.29          0.20        617.05
  0.54          0.01          0.01          3.98         59.56          0.20        616.72
  0.55          0.01          0.01          3.92         60.84          0.20        616.39
  0.56          0.02          0.01          3.87         62.12          0.20        616.06
  0.57          0.02          0.01          3.81         63.40          0.20        615.73
  0.58          0.02          0.01          3.75         64.70          0.20        615.40
  0.59          0.02          0.01          3.68         66.00          0.20        615.07
  0.60          0.02          0.01          3.62         67.31          0.20        614.74
  0.61          0.02          0.01          3.55         68.62          0.20        614.40
  0.62          0.02          0.01          3.49         69.94          0.21        614.06
  0.63          0.02          0.01          3.42         71.26          0.21        613.72
  0.64          0.02          0.01          3.35         72.60          0.21        613.38
  0.65          0.02          0.01          3.27         73.94          0.22        613.04
  0.66          0.02          0.01          3.20         75.28          0.22        612.70
  0.67          0.02          0.01          3.12         76.64          0.23        612.35
  0.68          0.02          0.01          3.04         77.99          0.23        612.01
  0.69          0.02          0.01          2.96         79.36          0.23        611.66
  0.70          0.02          0.01          2.88         80.73          0.24        611.31
  0.71          0.03          0.01          2.80         82.11          0.24        610.96
  0.72          0.03          0.01          2.72         83.50          0.25        610.61
  0.73          0.03          0.01          2.63         84.89          0.25        610.26
  0.74          0.03          0.01          2.54         86.29          0.25        609.90
  0.75          0.03          0.01          2.45         87.69          0.26        609.55
  0.76          0.03          0.01          2.36         89.11          0.26        609.19
  0.77          0.03          0.01          2.27         90.53          0.27        608.83
  0.78          0.03          0.01          2.18         91.95          0.27        608.47
  0.79          0.03          0.01          2.09         93.38          0.27        608.11
  0.80          0.03          0.01          2.00         94.82          0.28        607.75
  0.81          0.03          0.01          1.90         96.27          0.28        607.38
  0.82          0.03          0.01          1.81         97.72          0.29        607.02
  0.83          0.04          0.01          1.71         99.18          0.29        606.65
  0.84          0.04          0.01          1.62        100.65          0.30        606.28
  0.85          0.04          0.01          1.52        102.12          0.30        605.91
  0.86          0.04          0.02          1.42        103.60          0.30        605.54
  0.87          0.04          0.02          1.33        105.09          0.31        605.17
  0.88          0.04          0.02          1.23        106.58          0.31        604.79
  0.89          0.04          0.02          1.13        108.08          0.32        604.42
  0.90          0.04          0.02          1.03        109.59          0.32        604.04
  0.91          0.04          0.02          0.94        111.10          0.33        603.66
  0.92          0.04          0.02          0.84        112.62          0.33        603.28
  0.93          0.05          0.02          0.74        114.15          0.34        602.90
  0.94          0.05          0.02          0.65        115.69          0.34        602.52
  0.95          0.05          0.02          0.55        117.23          0.34        602.14
  0.96          0.05          0.02          0.45        118.78          0.35        601.75
  0.97          0.05          0.02          0.36        120.33          0.35        601.36
  0.98          0.05          0.02          0.26        121.89          0.36        600.98
  0.99          0.05          0.02          0.17        123.46          0.36        600.59
