2:CA(OFF)									
0	0.2	0.5	0.8	1.2	1.5	2	2.5	3	3.5
0	0.29	0.29	0.33	0.72	0.59	0.5	0.43	0.38	0.32
2	0.29	0.3	0.34	0.73	0.6	0.5	0.43	0.38	0.32
5	0.34	0.34	0.37	0.74	0.61	0.51	0.44	0.38	0.35
10	0.49	0.49	0.43	0.77	0.63	0.52	0.45	0.4	0.36
15	0.69	0.68	0.44	0.79	0.64	0.56	0.48	0.42	0.38
20	0.92	0.9	0.39	0.8	0.66	0.59	0.5	0.45	0.41
25	1.17	1.14	0.34	0.82	0.68	0.63	0.52	0.48	0.44
30	1.42	1.38	0.32	0.84	0.71	0.67	0.56	0.5	0.47
35	1.81	1.78	0.36	0.88	0.75	0.73	0.61	0.57	0.55
40	2.04	1.96	0.3	0.92	0.79	0.77	0.66	0.62	0.61
