9:CNFAW							
0	0.2	0.5	0.8	1.2	1.5	2	2.5	3	3.5
0	0	0	0	0	0	0	0	0	0
2	0.12	0.11	0.12	0.07	0.03	0.02	0.01	0.01	0.01
5	0.49	0.47	0.29	0.19	0.1	0.06	0.05	0.05	0.05
10	1.09	1.03	0.5	0.41	0.23	0.14	0.11	0.1	0.09
15	1.62	1.54	0.42	0.62	0.38	0.22	0.17	0.16	0.14
20	2.15	2.05	0.3	0.81	0.5	0.32	0.26	0.23	0.21
25	2.68	2.56	0.21	0.86	0.64	0.44	0.36	0.32	0.3
30	3.21	3.06	0.15	0.85	0.81	0.57	0.5	0.44	0.4
35	3.81	3.65	0.23	0.83	1.1	0.77	0.67	0.64	0.58
40	4.28	4.11	0.22	1.92	1.27	0.91	0.81	0.78	0.74
