0.2	0.5	0.8	1.2	1.5	2	2.5	3	3.5
81.632	87.672	105.783	116.81	61.02	29.4	15.5	7.8	1.2
-628	-661	-761	-999	-692	-506	-417	-362	-330
-19.96	-20.96	-23	-29	-21.9	-16	-13	-11.4	-9.5
10.44	11.03	12.8	13.8	8.6	5.4	4	3.2	2.7
12.38	12.38	12.3	12.5	12.56	12.5	12.5	12.5	12.5
10.3	10.9	12.7	15	10	6.7	5.1	4.2	3.6
0.3	0.3	0.4	-0.07	-0.08	-0.07	0	-0.04	-0.03
2.7	2.8	3.3	3.9	2.6	1.73	1.32	1.08	0.92
12	12.3	12.3	12.5	12.54	12.54	12.5	12.54	12.5
0.39	0.25	-0.15	-0.06	4	5.4	5	4.46	3.7
-30	-52	124	436	3.56	5.18	5.57	5.96	6.2
-1.62	-1.8	-2.38	-4.11	0.38	1.72	1.88	1.92	1.78
