0	0	288.15	-6.5	101325	28.96
11	11	216.65	0	22632	28.94
20.06	20	216.65	1	5474	28.94
32.16	32	228.65	2.8	868	29.94
47.32	47	270.65	0	111	28.94
52.4	52	270.65	-2	59	28.94
61.6	61	252	-4	18	28.94
80	79	180	0	1	28.94
90	89	180	2.9	0.16	28.94
100	98	210	4.7	0.03	28.9
110	108	257	9.2	0.007	28.6
120	118	350	18	0.0025	28
150	147	893	13	0.0005	26.9
160	156	1022	8	0.00037	26.7
170	165	1103	5	0.00028	26.4
190	184	1205	2.9	0.00017	25.9
230	222	1322	1.6	7.00E-05	24.7
300	286	1432	0.55	1.90E-05	22.7
400	376	1487	0.12	4.00E-06	19.9
500	464	1499	0.069	1.10E-06	17.9
600	548	1506	0.015	3.50E-07	16.8
700	630	1507	2.2	1.20E-07	16.2
