  t(s)     Ax(m/s^2)     Ay(m/s^2)     Az(m/s^2)       Vx(m/s)       Vy(m/s)       Vz(m/s)          X(m)          Y(m)          Z(m)
  0.00          0.00          0.00          0.00          0.00          0.00          0.00          0.00          0.00         -0.80
  0.01         89.04          0.00        -31.71          0.89          0.00         -0.32          0.00          0.00         -0.80
  0.02         89.58          0.00        -31.97          1.78          0.00         -0.63          0.02          0.00         -0.81
  0.03         90.12          0.00        -32.22          2.68          0.00         -0.96          0.04          0.00         -0.81
  0.04         90.66          0.00        -32.47          3.58          0.00         -1.28          0.07          0.00         -0.83
  0.05         91.21          0.00        -32.73          4.49          0.00         -1.60          0.11          0.00         -0.84
  0.06         91.75          0.00        -32.99          5.41          0.00         -1.93          0.16          0.00         -0.86
  0.07         92.29          0.00        -33.24          6.33          0.00         -2.26          0.22          0.00         -0.88
  0.08         92.84          0.00        -33.50          7.25          0.00         -2.60          0.29          0.00         -0.90
  0.09         93.38          0.00        -33.76          8.18          0.00         -2.93          0.37          0.00         -0.93
  0.10         93.92          0.00        -34.01          9.12          0.00         -3.27          0.45          0.00         -0.96
  0.11         94.47          0.00        -34.27         10.06          0.00         -3.61          0.55          0.00         -1.00
  0.12         95.01          0.00        -34.53         11.01          0.00         -3.96          0.65          0.00         -1.03
  0.13         95.56          0.00        -34.79         11.96          0.00         -4.31          0.77          0.00         -1.08
  0.14         96.11          0.00        -35.05         12.92          0.00         -4.65          0.89          0.00         -1.12
  0.15         96.65          0.00        -35.31         13.89          0.00         -5.01          1.03          0.00         -1.17
  0.16         97.20          0.00        -35.57         14.85          0.00         -5.36          1.17          0.00         -1.22
  0.17         97.75          0.00        -35.83         15.83          0.00         -5.72          1.32          0.00         -1.28
  0.18         98.30          0.00        -36.09         16.81          0.00         -6.08          1.49          0.00         -1.33
  0.19         98.85          0.00        -36.35         17.80          0.00         -6.44          1.66          0.00         -1.40
  0.20         99.40          0.00        -36.62         18.79          0.00         -6.80          1.84          0.00         -1.46
  0.21         99.95          0.00        -36.88         19.78          0.00         -7.17          2.04          0.00         -1.53
  0.22        100.50          0.00        -37.14         20.79          0.00         -7.54          2.24          0.00         -1.61
  0.23        101.05          0.00        -37.40         21.79          0.00         -7.91          2.45          0.00         -1.68
  0.24        101.61          0.00        -37.66         22.81          0.00         -8.29          2.67          0.00         -1.77
  0.25        102.16          0.00        -37.92         23.83          0.00         -8.67          2.91          0.00         -1.85
  0.26        102.72          0.00        -38.18         24.85          0.00         -9.05          3.15          0.00         -1.94
  0.27        103.27          0.00        -38.44         25.88          0.00         -9.43          3.40          0.00         -2.03
  0.28        103.83          0.00        -38.70         26.92          0.00         -9.82          3.67          0.00         -2.13
  0.29        104.39          0.00        -38.96         27.96          0.00        -10.21          3.94          0.00         -2.23
  0.30        104.95          0.00        -39.21         29.00          0.00        -10.60          4.23          0.00         -2.33
  0.31        105.51          0.00        -39.47         30.06          0.00        -10.99          4.52          0.00         -2.44
  0.32        106.08          0.00        -39.72         31.11          0.00        -11.39          4.83          0.00         -2.55
  0.33        106.64          0.00        -39.98         32.18          0.00        -11.78          5.14          0.00         -2.67
  0.34        107.21          0.00        -40.23         33.25          0.00        -12.19          5.47          0.00         -2.79
  0.35        107.78          0.00        -40.48         34.32          0.00        -12.59          5.81          0.00         -2.91
  0.36        108.35          0.00        -40.73         35.40          0.00        -12.99          6.16          0.00         -3.04
  0.37        108.92          0.00        -40.97         36.49          0.00        -13.40          6.52          0.00         -3.17
  0.38        109.49          0.00        -41.22         37.58          0.00        -13.81          6.89          0.00         -3.31
  0.39        110.07          0.00        -41.46         38.68          0.00        -14.23          7.27          0.00         -3.45
  0.40        110.65          0.00        -41.69         39.78          0.00        -14.64          7.66          0.00         -3.59
  0.41        111.23          0.00        -41.93         40.89          0.00        -15.06          8.06          0.00         -3.74
  0.42        111.81          0.00        -42.16         42.01          0.00        -15.48          8.48          0.00         -3.89
  0.43        112.40          0.00        -42.39         43.13          0.00        -15.90          8.91          0.00         -4.05
  0.44        112.98          0.00        -42.62         44.25          0.00        -16.33          9.34          0.00         -4.21
  0.45        113.57          0.00        -42.84         45.39          0.00        -16.76          9.79          0.00         -4.38
  0.46        114.17          0.00        -43.05         46.53          0.00        -17.19         10.25          0.00         -4.55
  0.47        114.76          0.00        -43.27         47.67          0.00        -17.62         10.72          0.00         -4.72
  0.48        115.36          0.00        -43.48         48.82          0.00        -18.05         11.20          0.00         -4.90
  0.49        115.96          0.00        -43.68         49.98          0.00        -18.49         11.70          0.00         -5.08
  0.50        116.57          0.00        -43.88         51.14          0.00        -18.93         12.20          0.00         -5.27
  0.51        117.18          0.00        -44.07         52.31          0.00        -19.37         12.72          0.00         -5.46
  0.52        117.79          0.00        -44.26         53.48          0.00        -19.81         13.25          0.00         -5.65
  0.53        118.40          0.00        -44.44         54.66          0.00        -20.25         13.79          0.00         -5.86
  0.54        119.02          0.00        -44.62         55.85          0.00        -20.70         14.34          0.00         -6.06
  0.55        119.65          0.00        -44.79         57.04          0.00        -21.14         14.91          0.00         -6.27
  0.56        120.27          0.00        -44.96         58.24          0.00        -21.59         15.48          0.00         -6.48
  0.57        120.90          0.00        -45.11         59.45          0.00        -22.04         16.07          0.00         -6.70
  0.58        121.54          0.00        -45.26         60.66          0.00        -22.49         16.67          0.00         -6.92
  0.59        122.18          0.00        -45.40         61.88          0.00        -22.95         17.28          0.00         -7.15
  0.60        122.82          0.00        -45.54         63.11          0.00        -23.40         17.91          0.00         -7.38
  0.61        123.47          0.00        -45.67         64.34          0.00        -23.86         18.55          0.00         -7.62
  0.62        124.12          0.00        -45.79         65.58          0.00        -24.32         19.20          0.00         -7.86
  0.63        124.78          0.00        -45.90         66.82          0.00        -24.77         19.86          0.00         -8.11
  0.64        125.44          0.00        -46.00         68.07          0.00        -25.23         20.53          0.00         -8.36
  0.65        126.11          0.00        -46.09         69.33          0.00        -25.69         21.22          0.00         -8.61
  0.66        126.78          0.00        -46.18         70.59          0.00        -26.15         21.92          0.00         -8.87
  0.67        127.45          0.00        -46.25         71.86          0.00        -26.62         22.63          0.00         -9.13
  0.68        128.13          0.00        -46.32         73.14          0.00        -27.08         23.36          0.00         -9.40
  0.69        128.82          0.00        -46.38         74.43          0.00        -27.54         24.09          0.00         -9.67
  0.70        129.51          0.00        -46.43         75.72          0.00        -28.01         24.85          0.00         -9.95
  0.71        130.20          0.00        -46.46         77.02          0.00        -28.47         25.61          0.00        -10.23
  0.72        130.90          0.00        -46.49         78.32          0.00        -28.94         26.39          0.00        -10.52
  0.73        131.60          0.00        -46.51         79.64          0.00        -29.40         27.18          0.00        -10.81
  0.74        132.31          0.00        -46.52         80.95          0.00        -29.87         27.98          0.00        -11.11
  0.75        133.02          0.00        -46.52         82.28          0.00        -30.33         28.79          0.00        -11.41
  0.76        133.74          0.00        -46.51         83.62          0.00        -30.80         29.62          0.00        -11.72
  0.77        134.46          0.00        -46.49         84.96          0.00        -31.26         30.47          0.00        -12.03
  0.78        135.19          0.00        -46.46         86.30          0.00        -31.73         31.32          0.00        -12.34
  0.79        135.92          0.00        -46.43         87.66          0.00        -32.19         32.19          0.00        -12.66
