       Z_b(km)       H_b(km)        T_b(K)    beta(K/km)       P_b(pa)  M_b(kg/kmol)
        0.0000        0.0000      288.1500       -6.5000    0.1013E+06       28.9600
       11.0000       11.0000      216.6500        0.0000    0.2263E+05       28.9400
       20.0600       20.0000      216.6500        1.0000    0.5474E+04       28.9400
       32.1600       32.0000      228.6500        2.8000    0.8680E+03       29.9400
       47.3200       47.0000      270.6500        0.0000    0.1110E+03       28.9400
       52.4000       52.0000      270.6500       -2.0000    0.5900E+02       28.9400
       61.6000       61.0000      252.0000       -4.0000    0.1800E+02       28.9400
       80.0000       79.0000      180.0000        0.0000    0.1000E+01       28.9400
       90.0000       89.0000      180.0000        2.9000    0.1600E+00       28.9400
      100.0000       98.0000      210.0000        4.7000    0.3000E-01       28.9000
      110.0000      108.0000      257.0000        9.2000    0.7000E-02       28.6000
      120.0000      118.0000      350.0000       18.0000    0.2500E-02       28.0000
      150.0000      147.0000      893.0000       13.0000    0.5000E-03       26.9000
      160.0000      156.0000     1022.0000        8.0000    0.3700E-03       26.7000
      170.0000      165.0000     1103.0000        5.0000    0.2800E-03       26.4000
      190.0000      184.0000     1205.0000        2.9000    0.1700E-03       25.9000
      230.0000      222.0000     1322.0000        1.6000    0.7000E-04       24.7000
      300.0000      286.0000     1432.0000        0.5500    0.1900E-04       22.7000
      400.0000      376.0000     1487.0000        0.1200    0.4000E-05       19.9000
      500.0000      464.0000     1499.0000        0.0690    0.1100E-05       17.9000
      600.0000      548.0000     1506.0000        0.0150    0.3500E-06       16.8000
      700.0000      630.0000     1507.0000        2.2000    0.1200E-06       16.2000
