  t(s)     Range(km)         H(km)       AF(deg)        V(m/s)            Ma      mass(kg)
  0.00          0.00          0.00          0.00          0.00          0.00        632.30
  0.01          0.00          0.00          4.69          0.92          0.20        632.05
  0.02          0.00          0.00          4.67          1.84          0.20        631.80
  0.03          0.00          0.00          4.66          2.78          0.20        631.54
  0.04          0.00          0.00          4.64          3.71          0.20        631.29
  0.05          0.00          0.00          4.63          4.66          0.20        631.03
  0.06          0.00          0.00          4.61          5.61          0.20        630.77
  0.07          0.00          0.00          4.59          6.56          0.20        630.51
  0.08          0.00          0.00          4.58          7.52          0.20        630.25
  0.09          0.00          0.00          4.56          8.49          0.20        629.99
  0.10          0.00          0.00          4.55          9.46          0.20        629.73
  0.11          0.00          0.00          4.53         10.44          0.20        629.46
  0.12          0.00          0.00          4.52         11.43          0.20        629.19
  0.13          0.00          0.00          4.50         12.42          0.20        628.93
  0.14          0.00          0.00          4.49         13.42          0.20        628.66
  0.15          0.00          0.00          4.47         14.42          0.20        628.39
  0.16          0.00          0.00          4.46         15.43          0.20        628.11
  0.17          0.00          0.00          4.44         16.44          0.20        627.84
  0.18          0.00          0.00          4.42         17.47          0.20        627.57
  0.19          0.00          0.00          4.41         18.49          0.20        627.29
  0.20          0.00          0.00          4.39         19.53          0.20        627.01
  0.21          0.00          0.00          4.37         20.57          0.20        626.73
  0.22          0.00          0.00          4.36         21.61          0.20        626.45
  0.23          0.00          0.00          4.34         22.67          0.20        626.17
  0.24          0.00          0.00          4.32         23.72          0.20        625.89
  0.25          0.00          0.00          4.30         24.79          0.20        625.60
  0.26          0.00          0.00          4.29         25.86          0.20        625.31
  0.27          0.00          0.00          4.27         26.93          0.20        625.03
  0.28          0.00          0.00          4.25         28.02          0.20        624.74
  0.29          0.00          0.00          4.23         29.10          0.20        624.45
  0.30          0.00          0.00          4.21         30.20          0.20        624.15
  0.31          0.00          0.00          4.19         31.30          0.20        623.86
  0.32          0.00          0.00          4.17         32.41          0.20        623.57
  0.33          0.00          0.00          4.14         33.52          0.20        623.27
  0.34          0.00          0.00          4.12         34.64          0.20        622.97
  0.35          0.00          0.00          4.10         35.77          0.20        622.67
  0.36          0.01          0.00          4.08         36.90          0.20        622.37
  0.37          0.01          0.00          4.05         38.04          0.20        622.07
  0.38          0.01          0.00          4.03         39.18          0.20        621.77
  0.39          0.01          0.01          4.00         40.33          0.20        621.46
  0.40          0.01          0.01          3.97         41.49          0.20        621.16
  0.41          0.01          0.01          3.95         42.65          0.20        620.85
  0.42          0.01          0.01          3.92         43.82          0.20        620.54
  0.43          0.01          0.01          3.89         45.00          0.20        620.23
  0.44          0.01          0.01          3.86         46.18          0.20        619.92
  0.45          0.01          0.01          3.82         47.37          0.20        619.60
  0.46          0.01          0.01          3.79         48.56          0.20        619.29
  0.47          0.01          0.01          3.76         49.76          0.20        618.97
  0.48          0.01          0.01          3.72         50.97          0.20        618.66
  0.49          0.01          0.01          3.69         52.18          0.20        618.34
  0.50          0.01          0.01          3.65         53.40          0.20        618.02
  0.51          0.01          0.01          3.61         54.63          0.20        617.69
  0.52          0.01          0.01          3.57         55.86          0.20        617.37
  0.53          0.01          0.01          3.53         57.10          0.20        617.05
  0.54          0.01          0.01          3.49         58.34          0.20        616.72
  0.55          0.01          0.01          3.44         59.60          0.20        616.39
  0.56          0.01          0.01          3.40         60.85          0.20        616.06
  0.57          0.01          0.01          3.35         62.12          0.20        615.73
  0.58          0.01          0.01          3.30         63.39          0.20        615.40
  0.59          0.01          0.01          3.25         64.67          0.20        615.07
  0.60          0.02          0.01          3.20         65.95          0.20        614.74
  0.61          0.02          0.01          3.15         67.24          0.20        614.40
  0.62          0.02          0.01          3.10         68.54          0.20        614.06
  0.63          0.02          0.01          3.04         69.84          0.21        613.72
  0.64          0.02          0.01          2.98         71.15          0.21        613.38
  0.65          0.02          0.01          2.93         72.47          0.21        613.04
  0.66          0.02          0.01          2.87         73.79          0.22        612.70
  0.67          0.02          0.01          2.81         75.12          0.22        612.35
  0.68          0.02          0.02          2.74         76.46          0.22        612.01
  0.69          0.02          0.02          2.68         77.80          0.23        611.66
  0.70          0.02          0.02          2.61         79.15          0.23        611.31
  0.71          0.02          0.02          2.55         80.50          0.24        610.96
  0.72          0.02          0.02          2.48         81.87          0.24        610.61
  0.73          0.02          0.02          2.41         83.24          0.24        610.26
  0.74          0.02          0.02          2.34         84.61          0.25        609.90
  0.75          0.02          0.02          2.27         85.99          0.25        609.55
  0.76          0.03          0.02          2.20         87.38          0.26        609.19
  0.77          0.03          0.02          2.12         88.78          0.26        608.83
  0.78          0.03          0.02          2.05         90.18          0.27        608.47
  0.79          0.03          0.02          1.98         91.59          0.27        608.11
  0.80          0.03          0.02          1.90         93.01          0.27        607.75
  0.81          0.03          0.02          1.82         94.43          0.28        607.38
  0.82          0.03          0.02          1.75         95.86          0.28        607.02
  0.83          0.03          0.02          1.67         97.30          0.29        606.65
  0.84          0.03          0.02          1.59         98.74          0.29        606.28
  0.85          0.03          0.02          1.51        100.19          0.29        605.91
  0.86          0.03          0.02          1.43        101.64          0.30        605.54
  0.87          0.03          0.03          1.35        103.11          0.30        605.17
  0.88          0.03          0.03          1.27        104.58          0.31        604.79
  0.89          0.04          0.03          1.19        106.05          0.31        604.42
  0.90          0.04          0.03          1.11        107.54          0.32        604.04
  0.91          0.04          0.03          1.03        109.03          0.32        603.66
  0.92          0.04          0.03          0.95        110.52          0.32        603.28
  0.93          0.04          0.03          0.86        112.03          0.33        602.90
  0.94          0.04          0.03          0.78        113.54          0.33        602.52
