     t       phi_c          AF          MA          CA          CN         CNQ         CLP         CMQ         XCP         XCG
  0.00        0.00        0.00        0.20        0.27        0.00       69.56      -18.92     -561.00        9.75        7.84
  0.01        0.00        4.69        0.20        0.32        2.31       69.56      -18.92     -561.00       10.46        7.84
  0.02        0.00        4.67        0.20        0.32        2.30       69.56      -18.92     -561.00       10.46        7.84
  0.03        0.00        4.66        0.20        0.32        2.29       69.56      -18.92     -561.00       10.46        7.84
  0.04        0.00        4.64        0.20        0.32        2.28       69.56      -18.92     -561.00       10.45        7.84
  0.05        0.00        4.63        0.20        0.32        2.27       69.56      -18.92     -561.00       10.45        7.84
  0.06        0.00        4.61        0.20        0.31        2.26       69.56      -18.92     -561.00       10.45        7.84
  0.07        0.00        4.59        0.20        0.31        2.25       69.56      -18.92     -561.00       10.45        7.84
  0.08        0.00        4.58        0.20        0.31        2.24       69.56      -18.92     -561.00       10.44        7.84
  0.09        0.00        4.56        0.20        0.31        2.23       69.56      -18.92     -561.00       10.44        7.84
  0.10        0.00        4.55        0.20        0.31        2.22       69.56      -18.92     -561.00       10.44        7.84
  0.11        0.00        4.53        0.20        0.31        2.22       69.56      -18.92     -561.00       10.44        7.83
  0.12        0.00        4.52        0.20        0.31        2.21       69.56      -18.92     -561.00       10.43        7.83
  0.13        0.00        4.50        0.20        0.31        2.20       69.56      -18.92     -561.00       10.43        7.83
  0.14        0.00        4.49        0.20        0.31        2.19       69.56      -18.92     -561.00       10.43        7.83
  0.15        0.00        4.47        0.20        0.31        2.18       69.56      -18.92     -561.00       10.43        7.83
  0.16        0.00        4.46        0.20        0.31        2.17       69.56      -18.92     -561.00       10.42        7.83
  0.17        0.00        4.44        0.20        0.31        2.16       69.56      -18.92     -561.00       10.42        7.83
  0.18        0.00        4.42        0.20        0.31        2.15       69.56      -18.92     -561.00       10.42        7.83
  0.19        0.00        4.41        0.20        0.31        2.14       69.56      -18.92     -561.00       10.42        7.83
  0.20        0.00        4.39        0.20        0.31        2.13       69.56      -18.92     -561.00       10.41        7.83
  0.21        0.00        4.37        0.20        0.31        2.12       69.56      -18.92     -561.00       10.41        7.83
  0.22        0.00        4.36        0.20        0.31        2.11       69.56      -18.92     -561.00       10.41        7.83
  0.23        0.00        4.34        0.20        0.31        2.10       69.56      -18.92     -561.00       10.41        7.82
  0.24        0.00        4.32        0.20        0.31        2.09       69.56      -18.92     -561.00       10.40        7.82
  0.25        0.00        4.30        0.20        0.31        2.08       69.56      -18.92     -561.00       10.40        7.82
  0.26        0.00        4.29        0.20        0.31        2.06       69.56      -18.92     -561.00       10.40        7.82
  0.27        0.00        4.27        0.20        0.31        2.05       69.56      -18.92     -561.00       10.40        7.82
  0.28        0.00        4.25        0.20        0.31        2.04       69.56      -18.92     -561.00       10.39        7.82
  0.29        0.00        4.23        0.20        0.31        2.03       69.56      -18.92     -561.00       10.39        7.82
  0.30        0.00        4.21        0.20        0.31        2.02       69.56      -18.92     -561.00       10.39        7.82
  0.31        0.00        4.19        0.20        0.31        2.00       69.56      -18.92     -561.00       10.38        7.82
  0.32        0.00        4.17        0.20        0.31        1.99       69.56      -18.92     -561.00       10.38        7.82
  0.33        0.00        4.14        0.20        0.31        1.98       69.56      -18.92     -561.00       10.38        7.82
  0.34        0.00        4.12        0.20        0.31        1.96       69.56      -18.92     -561.00       10.37        7.82
  0.35        0.00        4.10        0.20        0.31        1.95       69.56      -18.92     -561.00       10.37        7.81
  0.36        0.00        4.08        0.20        0.31        1.94       69.56      -18.92     -561.00       10.37        7.81
  0.37        0.00        4.05        0.20        0.31        1.92       69.56      -18.92     -561.00       10.36        7.81
  0.38        0.00        4.03        0.20        0.31        1.91       69.56      -18.92     -561.00       10.36        7.81
  0.39        0.00        4.00        0.20        0.31        1.89       69.56      -18.92     -561.00       10.35        7.81
  0.40        0.00        3.97        0.20        0.31        1.87       69.56      -18.92     -561.00       10.35        7.81
  0.41        0.00        3.95        0.20        0.31        1.86       69.56      -18.92     -561.00       10.34        7.81
  0.42        0.00        3.92        0.20        0.31        1.84       69.56      -18.92     -561.00       10.34        7.81
  0.43        0.00        3.89        0.20        0.31        1.82       69.56      -18.92     -561.00       10.34        7.81
  0.44        0.00        3.86        0.20        0.30        1.80       69.56      -18.92     -561.00       10.33        7.81
  0.45        0.00        3.82        0.20        0.30        1.78       69.56      -18.92     -561.00       10.33        7.81
  0.46        0.00        3.79        0.20        0.30        1.76       69.56      -18.92     -561.00       10.32        7.80
  0.47        0.00        3.76        0.20        0.30        1.74       69.56      -18.92     -561.00       10.32        7.80
  0.48        0.00        3.72        0.20        0.30        1.72       69.56      -18.92     -561.00       10.31        7.80
  0.49        0.00        3.69        0.20        0.30        1.70       69.56      -18.92     -561.00       10.30        7.80
  0.50        0.00        3.65        0.20        0.30        1.68       69.56      -18.92     -561.00       10.30        7.80
  0.51        0.00        3.61        0.20        0.30        1.65       69.56      -18.92     -561.00       10.29        7.80
  0.52        0.00        3.57        0.20        0.30        1.63       69.56      -18.92     -561.00       10.29        7.80
  0.53        0.00        3.53        0.20        0.30        1.60       69.56      -18.92     -561.00       10.28        7.80
  0.54        0.00        3.49        0.20        0.30        1.58       69.56      -18.92     -561.00       10.27        7.80
  0.55        0.00        3.44        0.20        0.30        1.55       69.56      -18.92     -561.00       10.27        7.80
  0.56        0.00        3.40        0.20        0.30        1.52       69.56      -18.92     -561.00       10.26        7.79
  0.57        0.00        3.35        0.20        0.30        1.49       69.56      -18.92     -561.00       10.25        7.79
  0.58        0.00        3.30        0.20        0.30        1.46       69.56      -18.92     -561.00       10.24        7.79
  0.59        0.00        3.25        0.20        0.30        1.43       69.56      -18.92     -561.00       10.24        7.79
  0.60        0.00        3.20        0.20        0.30        1.40       69.56      -18.92     -561.00       10.23        7.79
  0.61        0.00        3.15        0.20        0.30        1.37       69.56      -18.92     -561.00       10.22        7.79
  0.62        0.00        3.10        0.20        0.29        1.34       69.65      -18.93     -561.48       10.21        7.79
  0.63        0.00        3.04        0.21        0.29        1.30       69.88      -18.96     -562.76       10.20        7.79
  0.64        0.00        2.98        0.21        0.29        1.27       70.11      -18.98     -564.04       10.19        7.79
  0.65        0.00        2.93        0.21        0.29        1.23       70.35      -19.01     -565.33       10.18        7.79
  0.66        0.00        2.87        0.22        0.29        1.20       70.58      -19.03     -566.63       10.18        7.79
  0.67        0.00        2.81        0.22        0.29        1.16       70.82      -19.06     -567.93       10.17        7.78
  0.68        0.00        2.74        0.22        0.29        1.12       71.05      -19.09     -569.24       10.16        7.78
  0.69        0.00        2.68        0.23        0.29        1.08       71.29      -19.11     -570.55       10.15        7.78
  0.70        0.00        2.61        0.23        0.29        1.04       71.53      -19.14     -571.88       10.14        7.78
  0.71        0.00        2.55        0.24        0.29        1.00       71.77      -19.17     -573.21       10.13        7.78
  0.72        0.00        2.48        0.24        0.29        0.96       72.01      -19.20     -574.54       10.12        7.78
  0.73        0.00        2.41        0.24        0.29        0.92       72.26      -19.22     -575.88       10.11        7.78
  0.74        0.00        2.34        0.25        0.28        0.88       72.50      -19.25     -577.23       10.10        7.78
  0.75        0.00        2.27        0.25        0.28        0.84       72.75      -19.28     -578.59       10.08        7.78
  0.76        0.00        2.20        0.26        0.28        0.79       72.99      -19.31     -579.95       10.07        7.77
  0.77        0.00        2.12        0.26        0.28        0.75       73.24      -19.33     -581.32       10.06        7.77
  0.78        0.00        2.05        0.27        0.28        0.71       73.49      -19.36     -582.69       10.05        7.77
  0.79        0.00        1.98        0.27        0.28        0.67       73.74      -19.39     -584.07       10.04        7.77
  0.80        0.00        1.90        0.27        0.28        0.64       73.99      -19.42     -585.46       10.03        7.77
  0.81        0.00        1.82        0.28        0.28        0.62       74.24      -19.45     -586.85       10.02        7.77
