           m(kg)         x_cg(m)     Ixx(kg-m^2)     Iyy(kg-m^2)
          632.05            2.69           12.20          762.00
          631.80            2.69           12.20          761.77
          631.54            2.69           12.19          761.54
          631.29            2.69           12.19          761.31
          631.03            2.69           12.18          761.08
          630.78            2.69           12.18          760.85
          630.52            2.69           12.18          760.61
          630.26            2.69           12.17          760.37
          630.00            2.69           12.17          760.14
          629.73            2.69           12.16          759.90
          629.47            2.69           12.16          759.66
          629.20            2.69           12.16          759.42
          628.94            2.69           12.15          759.18
          628.67            2.69           12.15          758.93
          628.40            2.69           12.14          758.69
          628.13            2.69           12.14          758.44
          627.85            2.69           12.14          758.19
          627.58            2.69           12.13          757.94
          627.30            2.69           12.13          757.69
          627.03            2.68           12.12          757.44
          626.75            2.68           12.12          757.19
          626.47            2.68           12.11          756.94
          626.19            2.68           12.11          756.68
          625.90            2.68           12.11          756.42
          625.62            2.68           12.10          756.17
          625.33            2.68           12.10          755.91
          625.05            2.68           12.09          755.65
          624.76            2.68           12.09          755.38
          624.47            2.68           12.08          755.12
          624.18            2.68           12.08          754.86
          623.88            2.68           12.08          754.59
          623.59            2.68           12.07          754.32
          623.29            2.68           12.07          754.06
          623.00            2.68           12.06          753.79
          622.70            2.68           12.06          753.52
          622.40            2.68           12.05          753.24
          622.10            2.68           12.05          752.97
          621.79            2.68           12.04          752.70
          621.49            2.68           12.04          752.42
          621.18            2.68           12.03          752.14
          620.88            2.68           12.03          751.87
          620.57            2.68           12.02          751.59
          620.26            2.68           12.02          751.30
          619.95            2.68           12.02          751.02
          619.64            2.68           12.01          750.74
          619.32            2.68           12.01          750.45
          619.01            2.68           12.00          750.17
          618.69            2.68           12.00          749.88
          618.37            2.68           11.99          749.59
          618.05            2.68           11.99          749.30
          617.73            2.68           11.98          749.01
          617.41            2.68           11.98          748.72
          617.08            2.67           11.97          748.42
          616.76            2.67           11.97          748.13
          616.43            2.67           11.96          747.83
          616.10            2.67           11.96          747.53
          615.77            2.67           11.95          747.24
          615.44            2.67           11.95          746.94
          615.11            2.67           11.94          746.63
          614.78            2.67           11.94          746.33
          614.44            2.67           11.93          746.03
          614.11            2.67           11.93          745.72
          613.77            2.67           11.92          745.42
          613.43            2.67           11.92          745.11
          613.09            2.67           11.91          744.80
          612.75            2.67           11.90          744.49
          612.40            2.67           11.90          744.18
          612.06            2.67           11.89          743.86
          611.71            2.67           11.89          743.55
          611.36            2.67           11.88          743.23
          611.01            2.67           11.88          742.92
          610.66            2.67           11.87          742.60
          610.31            2.67           11.87          742.28
          609.96            2.67           11.86          741.96
          609.60            2.67           11.86          741.63
          609.24            2.67           11.85          741.31
          608.89            2.67           11.85          740.99
          608.53            2.67           11.84          740.66
          608.17            2.67           11.84          740.33
          607.80            2.67           11.83          740.01
          607.44            2.67           11.82          739.68
          607.08            2.66           11.82          739.34
          606.71            2.66           11.81          739.01
          606.34            2.66           11.81          738.68
          605.97            2.66           11.80          738.34
          605.60            2.66           11.80          738.01
          605.23            2.66           11.79          737.67
          604.86            2.66           11.78          737.33
          604.48            2.66           11.78          736.99
          604.11            2.66           11.77          736.65
          603.73            2.66           11.77          736.31
          603.35            2.66           11.76          735.96
          602.97            2.66           11.76          735.62
          602.59            2.66           11.75          735.27
          602.20            2.66           11.74          734.92
          601.82            2.66           11.74          734.57
          601.43            2.66           11.73          734.22
          601.04            2.66           11.73          733.87
          600.66            2.66           11.72          733.52
          600.27            2.66           11.71          733.17
          599.87            2.66           11.71          732.81
          599.48            2.66           11.70          732.45
          599.09            2.66           11.70          732.10
          598.70            2.66           11.69          731.74
          598.30            2.66           11.68          731.38
          597.91            2.66           11.68          731.03
          597.51            2.66           11.67          730.67
          597.12            2.65           11.67          730.31
          596.72            2.65           11.66          729.95
          596.33            2.65           11.65          729.60
          595.93            2.65           11.65          729.24
          595.54            2.65           11.64          728.88
          595.14            2.65           11.64          728.52
          594.74            2.65           11.63          728.16
          594.35            2.65           11.62          727.80
          593.95            2.65           11.62          727.44
          593.55            2.65           11.61          727.07
          593.15            2.65           11.61          726.71
          592.75            2.65           11.60          726.35
          592.35            2.65           11.59          725.99
          591.95            2.65           11.59          725.63
          591.55            2.65           11.58          725.26
          591.15            2.65           11.58          724.90
          590.75            2.65           11.57          724.54
          590.35            2.65           11.56          724.17
          589.95            2.65           11.56          723.81
          589.55            2.65           11.55          723.44
          589.15            2.65           11.54          723.08
          588.74            2.65           11.54          722.71
          588.34            2.65           11.53          722.35
          587.94            2.65           11.53          721.98
          587.53            2.65           11.52          721.62
          587.13            2.64           11.51          721.25
          586.72            2.64           11.51          720.88
          586.32            2.64           11.50          720.51
          585.91            2.64           11.49          720.15
          585.51            2.64           11.49          719.78
          585.10            2.64           11.48          719.41
