          t(sec)     p(kgf/cm^2)     TF_sea(kgf)  TF_vacuum(kgf)   dm/dt(kg/sec)
            0.00          106.70         6295.90         6564.90           24.40
            0.01          107.30         6331.83         6600.84           24.54
            0.02          107.90         6367.76         6636.77           24.68
            0.03          108.50         6403.69         6672.71           24.81
            0.04          109.10         6439.62         6708.64           24.95
            0.05          109.70         6475.55         6744.58           25.09
            0.06          110.30         6511.49         6780.52           25.23
            0.07          110.90         6547.42         6816.45           25.37
            0.08          111.50         6583.35         6852.39           25.50
            0.09          112.10         6619.28         6888.32           25.64
            0.10          112.70         6655.21         6924.26           25.78
            0.11          113.30         6691.14         6960.20           25.92
            0.12          113.90         6727.07         6996.13           26.06
            0.13          114.50         6763.00         7032.07           26.19
            0.14          115.10         6798.93         7068.00           26.33
            0.15          115.70         6834.86         7103.94           26.47
            0.16          116.30         6870.80         7139.88           26.61
            0.17          116.90         6906.73         7175.81           26.75
            0.18          117.50         6942.66         7211.75           26.88
            0.19          118.10         6978.59         7247.68           27.02
            0.20          118.70         7014.52         7283.62           27.16
            0.21          119.30         7050.45         7319.56           27.30
            0.22          119.90         7086.38         7355.49           27.44
            0.23          120.50         7122.31         7391.43           27.57
            0.24          121.10         7158.24         7427.36           27.71
            0.25          121.70         7194.17         7463.30           27.85
            0.26          122.30         7230.11         7499.24           27.99
            0.27          122.90         7266.04         7535.17           28.13
            0.28          123.50         7301.97         7571.11           28.26
            0.29          124.10         7337.90         7607.04           28.40
            0.30          124.70         7373.83         7642.98           28.54
            0.31          125.30         7409.76         7678.92           28.68
            0.32          125.90         7445.69         7714.85           28.82
            0.33          126.50         7481.62         7750.79           28.95
            0.34          127.10         7517.55         7786.72           29.09
            0.35          127.70         7553.48         7822.66           29.23
            0.36          128.30         7589.42         7858.60           29.37
            0.37          128.90         7625.35         7894.53           29.51
            0.38          129.50         7661.28         7930.47           29.64
            0.39          130.10         7697.21         7966.40           29.78
            0.40          130.70         7733.14         8002.34           29.92
            0.41          131.30         7769.07         8038.28           30.06
            0.42          131.90         7805.00         8074.21           30.20
            0.43          132.50         7840.93         8110.15           30.33
            0.44          133.10         7876.86         8146.08           30.47
            0.45          133.70         7912.79         8182.02           30.61
            0.46          134.30         7948.73         8217.96           30.75
