  t(s)     Ax(m/s^2)     Ay(m/s^2)     Az(m/s^2)       Vx(m/s)       Vy(m/s)       Vz(m/s)          X(m)          Y(m)          Z(m)
  0.00          0.00          0.00          0.00          0.00          0.00          0.00          0.00          0.00         -0.80
  0.01         63.15          0.00        -65.45          0.63          0.00         -0.65          0.00          0.00         -0.80
  0.02         63.53          0.00        -65.91          1.26          0.00         -1.31          0.01          0.00         -0.81
  0.03         63.92          0.00        -66.37          1.90          0.00         -1.97          0.03          0.00         -0.83
  0.04         64.30          0.00        -66.83          2.54          0.00         -2.64          0.05          0.00         -0.85
  0.05         64.69          0.00        -67.29          3.19          0.00         -3.31          0.08          0.00         -0.88
  0.06         65.07          0.00        -67.75          3.84          0.00         -3.98          0.11          0.00         -0.92
  0.07         65.45          0.00        -68.21          4.49          0.00         -4.66          0.16          0.00         -0.96
  0.08         65.84          0.00        -68.67          5.14          0.00         -5.35          0.20          0.00         -1.01
  0.09         66.22          0.00        -69.13          5.80          0.00         -6.04          0.26          0.00         -1.07
  0.10         66.61          0.00        -69.60          6.47          0.00         -6.73          0.32          0.00         -1.13
  0.11         67.00          0.00        -70.06          7.14          0.00         -7.43          0.39          0.00         -1.20
  0.12         67.38          0.00        -70.52          7.81          0.00         -8.13          0.46          0.00         -1.28
  0.13         67.77          0.00        -70.99          8.48          0.00         -8.84          0.54          0.00         -1.37
  0.14         68.15          0.00        -71.46          9.16          0.00         -9.55          0.63          0.00         -1.46
  0.15         68.54          0.00        -71.92          9.85          0.00        -10.27          0.73          0.00         -1.56
  0.16         68.93          0.00        -72.39         10.53          0.00        -10.99          0.83          0.00         -1.66
  0.17         69.32          0.00        -72.86         11.23          0.00        -11.71          0.94          0.00         -1.78
  0.18         69.71          0.00        -73.32         11.92          0.00        -12.45          1.05          0.00         -1.90
  0.19         70.09          0.00        -73.79         12.62          0.00        -13.18          1.18          0.00         -2.03
  0.20         70.48          0.00        -74.26         13.32          0.00        -13.92          1.31          0.00         -2.16
  0.21         70.87          0.00        -74.73         14.03          0.00        -14.67          1.44          0.00         -2.30
  0.22         71.26          0.00        -75.20         14.74          0.00        -15.42          1.59          0.00         -2.45
  0.23         71.66          0.00        -75.67         15.46          0.00        -16.17          1.74          0.00         -2.61
  0.24         72.05          0.00        -76.14         16.17          0.00        -16.93          1.90          0.00         -2.78
  0.25         72.44          0.00        -76.61         16.90          0.00        -17.69          2.06          0.00         -2.95
  0.26         72.84          0.00        -77.08         17.62          0.00        -18.46          2.23          0.00         -3.13
  0.27         73.23          0.00        -77.55         18.35          0.00        -19.23          2.41          0.00         -3.32
  0.28         73.63          0.00        -78.02         19.09          0.00        -20.01          2.60          0.00         -3.52
  0.29         74.02          0.00        -78.49         19.83          0.00        -20.80          2.80          0.00         -3.72
  0.30         74.42          0.00        -78.97         20.57          0.00        -21.58          3.00          0.00         -3.93
  0.31         74.82          0.00        -79.44         21.31          0.00        -22.37          3.21          0.00         -4.15
  0.32         75.22          0.00        -79.91         22.06          0.00        -23.17          3.42          0.00         -4.38
  0.33         75.62          0.00        -80.38         22.82          0.00        -23.97          3.65          0.00         -4.62
  0.34         76.03          0.00        -80.85         23.58          0.00        -24.78          3.88          0.00         -4.86
  0.35         76.43          0.00        -81.32         24.34          0.00        -25.59          4.12          0.00         -5.11
  0.36         76.84          0.00        -81.79         25.11          0.00        -26.41          4.37          0.00         -5.37
  0.37         77.24          0.00        -82.26         25.88          0.00        -27.23          4.62          0.00         -5.64
  0.38         77.65          0.00        -82.73         26.65          0.00        -28.05          4.88          0.00         -5.92
  0.39         78.07          0.00        -83.20         27.43          0.00        -28.88          5.16          0.00         -6.20
  0.40         78.48          0.00        -83.67         28.21          0.00        -29.71          5.43          0.00         -6.49
  0.41         78.90          0.00        -84.14         29.00          0.00        -30.55          5.72          0.00         -6.79
  0.42         79.31          0.00        -84.60         29.79          0.00        -31.40          6.01          0.00         -7.10
  0.43         79.73          0.00        -85.07         30.58          0.00        -32.25          6.32          0.00         -7.42
  0.44         80.16          0.00        -85.54         31.38          0.00        -33.10          6.63          0.00         -7.75
  0.45         80.58          0.00        -86.00         32.19          0.00        -33.96          6.94          0.00         -8.08
  0.46         81.01          0.00        -86.46         33.00          0.00        -34.82          7.27          0.00         -8.43
  0.47         81.44          0.00        -86.93         33.81          0.00        -35.69          7.60          0.00         -8.78
  0.48         81.87          0.00        -87.39         34.62          0.00        -36.56          7.95          0.00         -9.14
  0.49         82.31          0.00        -87.84         35.45          0.00        -37.43          8.30          0.00         -9.51
  0.50         82.75          0.00        -88.30         36.27          0.00        -38.31          8.65          0.00         -9.89
  0.51         83.20          0.00        -88.76         37.10          0.00        -39.20          9.02          0.00        -10.28
  0.52         83.64          0.00        -89.21         37.93          0.00        -40.09          9.40          0.00        -10.68
  0.53         84.09          0.00        -89.66         38.77          0.00        -40.98          9.78          0.00        -11.08
  0.54         84.55          0.00        -90.11         39.62          0.00        -41.88         10.17          0.00        -11.49
  0.55         85.00          0.00        -90.56         40.46          0.00        -42.79         10.57          0.00        -11.92
  0.56         85.47          0.00        -91.01         41.32          0.00        -43.69         10.98          0.00        -12.35
  0.57         85.93          0.00        -91.45         42.17          0.00        -44.61         11.40          0.00        -12.79
  0.58         86.40          0.00        -91.89         43.04          0.00        -45.52         11.82          0.00        -13.24
  0.59         86.88          0.00        -92.33         43.90          0.00        -46.44         12.26          0.00        -13.70
  0.60         87.36          0.00        -92.77         44.77          0.00        -47.37         12.70          0.00        -14.17
  0.61         87.84          0.00        -93.20         45.65          0.00        -48.30         13.15          0.00        -14.65
  0.62         88.33          0.00        -93.63         46.53          0.00        -49.23         13.62          0.00        -15.14
  0.63         88.82          0.00        -94.05         47.42          0.00        -50.17         14.08          0.00        -15.63
  0.64         89.32          0.00        -94.48         48.31          0.00        -51.11         14.56          0.00        -16.14
  0.65         89.83          0.00        -94.90         49.20          0.00        -52.06         15.05          0.00        -16.66
  0.66         90.33          0.00        -95.32         50.10          0.00        -53.01         15.55          0.00        -17.18
  0.67         90.85          0.00        -95.73         51.01          0.00        -53.97         16.05          0.00        -17.72
  0.68         91.37          0.00        -96.14         51.92          0.00        -54.93         16.57          0.00        -18.26
  0.69         91.89          0.00        -96.55         52.84          0.00        -55.89         17.09          0.00        -18.82
  0.70         92.42          0.00        -96.95         53.76          0.00        -56.86         17.62          0.00        -19.38
  0.71         92.96          0.00        -97.35         54.68          0.00        -57.83         18.17          0.00        -19.95
  0.72         93.50          0.00        -97.74         55.62          0.00        -58.80         18.72          0.00        -20.54
  0.73         94.05          0.00        -98.14         56.55          0.00        -59.78         19.28          0.00        -21.13
  0.74         94.60          0.00        -98.52         57.50          0.00        -60.77         19.85          0.00        -21.73
  0.75         95.16          0.00        -98.91         58.45          0.00        -61.75         20.43          0.00        -22.34
  0.76         95.72          0.00        -99.29         59.40          0.00        -62.75         21.02          0.00        -22.97
  0.77         96.29          0.00        -99.67         60.36          0.00        -63.74         21.62          0.00        -23.60
  0.78         96.85          0.00       -100.05         61.33          0.00        -64.74         22.23          0.00        -24.24
  0.79         97.43          0.00       -100.43         62.30          0.00        -65.74         22.84          0.00        -24.89
  0.80         98.00          0.00       -100.80         63.28          0.00        -66.75         23.47          0.00        -25.56
  0.81         98.59          0.00       -101.17         64.26          0.00        -67.76         24.11          0.00        -26.23
  0.82         99.18          0.00       -101.53         65.25          0.00        -68.77         24.76          0.00        -26.91
  0.83         99.77          0.00       -101.89         66.24          0.00        -69.79         25.41          0.00        -27.60
  0.84        100.37          0.00       -102.25         67.24          0.00        -70.81         26.08          0.00        -28.31
  0.85        100.97          0.00       -102.60         68.25          0.00        -71.83         26.76          0.00        -29.02
  0.86        101.58          0.00       -102.95         69.26          0.00        -72.86         27.45          0.00        -29.74
  0.87        102.20          0.00       -103.30         70.28          0.00        -73.89         28.14          0.00        -30.48
  0.88        102.82          0.00       -103.64         71.31          0.00        -74.93         28.85          0.00        -31.22
  0.89        103.45          0.00       -103.98         72.34          0.00        -75.96         29.57          0.00        -31.98
  0.90        104.08          0.00       -104.31         73.37          0.00        -77.01         30.30          0.00        -32.74
  0.91        104.71          0.00       -104.64         74.42          0.00        -78.05         31.04          0.00        -33.52
  0.92        105.36          0.00       -104.97         75.47          0.00        -79.10         31.79          0.00        -34.30
  0.93        106.00          0.00       -105.29         76.53          0.00        -80.15         32.55          0.00        -35.10
  0.94        106.65          0.00       -105.61         77.59          0.00        -81.20         33.32          0.00        -35.91
  0.95        107.31          0.00       -105.92         78.66          0.00        -82.26         34.10          0.00        -36.72
  0.96        107.97          0.00       -106.23         79.74          0.00        -83.32         34.89          0.00        -37.55
  0.97        108.64          0.00       -106.54         80.82          0.00        -84.39         35.69          0.00        -38.39
  0.98        109.31          0.00       -106.85         81.91          0.00        -85.45         36.51          0.00        -39.24
  0.99        109.98          0.00       -107.15         83.00          0.00        -86.52         37.33          0.00        -40.10
  1.00        110.66          0.00       -107.45         84.11          0.00        -87.60         38.17          0.00        -40.97
  1.01        111.05          0.00       -107.44         85.22          0.00        -88.67         39.01          0.00        -41.85
  1.02        111.45          0.00       -107.43         86.33          0.00        -89.75         39.87          0.00        -42.74
  1.03        111.84          0.00       -107.42         87.45          0.00        -90.82         40.74          0.00        -43.65
  1.04        112.24          0.00       -107.41         88.57          0.00        -91.89         41.62          0.00        -44.56
  1.05        112.64          0.00       -107.39         89.69          0.00        -92.97         42.51          0.00        -45.48
  1.06        113.04          0.00       -107.37         90.82          0.00        -94.04         43.41          0.00        -46.42
  1.07        113.45         -0.00       -107.35         91.95         -0.00        -95.12         44.33          0.00        -47.36
  1.08        113.85         -0.00       -107.34         93.09         -0.00        -96.19         45.25         -0.00        -48.32
  1.09        114.25         -0.00       -107.32         94.23         -0.00        -97.26         46.19         -0.00        -49.29
  1.10        114.65         -0.00       -107.30         95.37         -0.00        -98.34         47.14         -0.00        -50.27
  1.11        115.05         -0.00       -107.28         96.52         -0.00        -99.41         48.10         -0.00        -51.25
  1.12        115.45         -0.00       -107.26         97.67         -0.00       -100.48         49.07         -0.00        -52.25
  1.13        115.85         -0.00       -107.24         98.83         -0.00       -101.55         50.05         -0.00        -53.26
  1.14        116.25         -0.00       -107.22         99.99         -0.00       -102.63         51.05         -0.00        -54.28
  1.15        116.65         -0.00       -107.21        101.15         -0.00       -103.70         52.05         -0.00        -55.32
  1.16        117.04         -0.00       -107.20        102.32         -0.00       -104.77         53.07         -0.00        -56.36
  1.17        117.43         -0.00       -107.19        103.50         -0.00       -105.84         54.10          0.00        -57.41
  1.18        117.82         -0.00       -107.18        104.67         -0.00       -106.91         55.14          0.00        -58.48
  1.19        118.20         -0.00       -107.18        105.85         -0.00       -107.99         56.19          0.00        -59.55
  1.20        118.58         -0.00       -107.18        107.04         -0.00       -109.06         57.26          0.00        -60.64
