          t(sec)     p(kgf/cm^2)     TF_sea(kgf)  TF_vacuum(kgf)   dm/dt(kg/sec)
            0.00          106.70         6295.90         6564.90           24.40
            1.00          166.70         9889.00        10158.50           38.20
            2.00          183.10        10919.00        11187.90           42.00
            3.00          201.60        12081.00        12354.40           46.50
            4.00          113.20         6665.00         6933.00           26.90
            5.00           46.20         2550.00         2818.00           12.00
            6.00           32.80         1733.00         2002.00            8.90
            7.00           30.60         1609.00         1878.00            8.50
            8.00           29.10         1522.00         1791.00            8.20
            9.00           29.00         1525.00         1794.00            8.20
           10.00           30.00         1568.00         1837.00            8.40
           11.00           30.00         1698.00         1867.00            8.60
           12.00           30.00         1621.00         1890.00            8.70
           13.00           31.00         1655.00         1924.00            8.90
           14.00           31.00         1693.00         1962.00            9.00
           15.00           32.00         1733.00         2002.00            9.30
           16.00           32.00         1772.00         2041.00            9.50
           17.00           32.00         1792.00         2061.00            9.60
           18.00           30.00         1615.00         1924.00            9.00
           19.00            9.40          410.00          679.00            2.90
           20.00            4.70          132.00          401.00            1.40
           21.00            3.50           59.00          328.00            1.10
           22.00            2.60           -1.20          268.00            0.80
           23.00            1.90          -52.00          217.00            0.60
           24.00            1.40         -100.00          169.00            0.40
           25.00            0.90         -149.00          120.00            0.30
