     t       Z(km)       H(km)        T(K)   P_air(pa) rho(kg/m^3)     Cs(m/s)          Ma
  0.00        0.00        0.00      288.14    0.10E+06    0.12E+01      340.29        0.00
  0.01        0.00        0.00      288.14    0.10E+06    0.12E+01      340.29        0.00
  0.02        0.00        0.00      288.14    0.10E+06    0.12E+01      340.29        0.01
  0.03        0.00        0.00      288.14    0.10E+06    0.12E+01      340.29        0.01
  0.04        0.00        0.00      288.14    0.10E+06    0.12E+01      340.29        0.01
  0.05        0.00        0.00      288.14    0.10E+06    0.12E+01      340.29        0.01
  0.06        0.00        0.00      288.14    0.10E+06    0.12E+01      340.29        0.02
  0.07        0.00        0.00      288.14    0.10E+06    0.12E+01      340.29        0.02
  0.08        0.00        0.00      288.14    0.10E+06    0.12E+01      340.29        0.02
  0.09        0.00        0.00      288.14    0.10E+06    0.12E+01      340.29        0.02
  0.10        0.00        0.00      288.14    0.10E+06    0.12E+01      340.29        0.03
  0.11        0.00        0.00      288.14    0.10E+06    0.12E+01      340.29        0.03
  0.12        0.00        0.00      288.14    0.10E+06    0.12E+01      340.29        0.03
  0.13        0.00        0.00      288.14    0.10E+06    0.12E+01      340.29        0.04
  0.14        0.00        0.00      288.14    0.10E+06    0.12E+01      340.29        0.04
  0.15        0.00        0.00      288.14    0.10E+06    0.12E+01      340.29        0.04
  0.16        0.00        0.00      288.14    0.10E+06    0.12E+01      340.29        0.04
  0.17        0.00        0.00      288.14    0.10E+06    0.12E+01      340.29        0.05
  0.18        0.00        0.00      288.14    0.10E+06    0.12E+01      340.29        0.05
  0.19        0.00        0.00      288.14    0.10E+06    0.12E+01      340.29        0.05
  0.20        0.00        0.00      288.14    0.10E+06    0.12E+01      340.29        0.06
  0.21        0.00        0.00      288.14    0.10E+06    0.12E+01      340.29        0.06
  0.22        0.00        0.00      288.13    0.10E+06    0.12E+01      340.28        0.06
  0.23        0.00        0.00      288.13    0.10E+06    0.12E+01      340.28        0.07
  0.24        0.00        0.00      288.13    0.10E+06    0.12E+01      340.28        0.07
  0.25        0.00        0.00      288.13    0.10E+06    0.12E+01      340.28        0.07
  0.26        0.00        0.00      288.13    0.10E+06    0.12E+01      340.28        0.08
  0.27        0.00        0.00      288.13    0.10E+06    0.12E+01      340.28        0.08
  0.28        0.00        0.00      288.13    0.10E+06    0.12E+01      340.28        0.08
  0.29        0.00        0.00      288.13    0.10E+06    0.12E+01      340.28        0.08
  0.30        0.00        0.00      288.12    0.10E+06    0.12E+01      340.28        0.09
  0.31        0.00        0.00      288.12    0.10E+06    0.12E+01      340.28        0.09
  0.32        0.00        0.00      288.12    0.10E+06    0.12E+01      340.28        0.09
  0.33        0.00        0.00      288.12    0.10E+06    0.12E+01      340.28        0.10
  0.34        0.00        0.00      288.12    0.10E+06    0.12E+01      340.28        0.10
  0.35        0.01        0.01      288.12    0.10E+06    0.12E+01      340.27        0.10
  0.36        0.01        0.01      288.12    0.10E+06    0.12E+01      340.27        0.11
  0.37        0.01        0.01      288.11    0.10E+06    0.12E+01      340.27        0.11
  0.38        0.01        0.01      288.11    0.10E+06    0.12E+01      340.27        0.11
  0.39        0.01        0.01      288.11    0.10E+06    0.12E+01      340.27        0.12
  0.40        0.01        0.01      288.11    0.10E+06    0.12E+01      340.27        0.12
  0.41        0.01        0.01      288.11    0.10E+06    0.12E+01      340.27        0.12
  0.42        0.01        0.01      288.10    0.10E+06    0.12E+01      340.27        0.13
  0.43        0.01        0.01      288.10    0.10E+06    0.12E+01      340.27        0.13
  0.44        0.01        0.01      288.10    0.10E+06    0.12E+01      340.26        0.13
  0.45        0.01        0.01      288.10    0.10E+06    0.12E+01      340.26        0.14
  0.46        0.01        0.01      288.10    0.10E+06    0.12E+01      340.26        0.14
  0.47        0.01        0.01      288.09    0.10E+06    0.12E+01      340.26        0.14
  0.48        0.01        0.01      288.09    0.10E+06    0.12E+01      340.26        0.15
  0.49        0.01        0.01      288.09    0.10E+06    0.12E+01      340.26        0.15
  0.50        0.01        0.01      288.09    0.10E+06    0.12E+01      340.26        0.16
  0.51        0.01        0.01      288.08    0.10E+06    0.12E+01      340.25        0.16
  0.52        0.01        0.01      288.08    0.10E+06    0.12E+01      340.25        0.16
  0.53        0.01        0.01      288.08    0.10E+06    0.12E+01      340.25        0.17
  0.54        0.01        0.01      288.08    0.10E+06    0.12E+01      340.25        0.17
  0.55        0.01        0.01      288.07    0.10E+06    0.12E+01      340.25        0.17
  0.56        0.01        0.01      288.07    0.10E+06    0.12E+01      340.25        0.18
  0.57        0.01        0.01      288.07    0.10E+06    0.12E+01      340.24        0.18
  0.58        0.01        0.01      288.06    0.10E+06    0.12E+01      340.24        0.18
  0.59        0.01        0.01      288.06    0.10E+06    0.12E+01      340.24        0.19
  0.60        0.01        0.01      288.06    0.10E+06    0.12E+01      340.24        0.19
  0.61        0.01        0.01      288.05    0.10E+06    0.12E+01      340.24        0.20
  0.62        0.02        0.02      288.05    0.10E+06    0.12E+01      340.24        0.20
  0.63        0.02        0.02      288.05    0.10E+06    0.12E+01      340.23        0.20
  0.64        0.02        0.02      288.05    0.10E+06    0.12E+01      340.23        0.21
  0.65        0.02        0.02      288.04    0.10E+06    0.12E+01      340.23        0.21
  0.66        0.02        0.02      288.04    0.10E+06    0.12E+01      340.23        0.21
  0.67        0.02        0.02      288.03    0.10E+06    0.12E+01      340.23        0.22
  0.68        0.02        0.02      288.03    0.10E+06    0.12E+01      340.22        0.22
  0.69        0.02        0.02      288.03    0.10E+06    0.12E+01      340.22        0.23
