     t      mass       XCG       Ixx       Iyy         p    TF_sea TF_vacuum     dm/dt
     s        kg         m    kg-m^2    kg-m^2  kgf/cm^2       kgf       kgf    kg/sec
  0.00    632.30      2.69     12.20    762.00    106.70   6295.90   6564.90     24.40
  0.01    632.05      2.69     12.20    761.77    107.30   6331.83   6600.84     24.54
  0.02    631.80      2.69     12.19    761.54    107.90   6367.76   6636.77     24.68
  0.03    631.54      2.69     12.19    761.31    108.50   6403.69   6672.71     24.81
  0.04    631.29      2.69     12.18    761.08    109.10   6439.62   6708.64     24.95
  0.05    631.03      2.69     12.18    760.85    109.70   6475.55   6744.58     25.09
  0.06    630.77      2.69     12.18    760.62    110.30   6511.49   6780.52     25.23
  0.07    630.51      2.69     12.17    760.38    110.90   6547.42   6816.45     25.37
  0.08    630.25      2.69     12.17    760.14    111.50   6583.35   6852.39     25.50
  0.09    629.99      2.69     12.16    759.91    112.10   6619.28   6888.32     25.64
  0.10    629.73      2.69     12.16    759.67    112.70   6655.21   6924.26     25.78
  0.11    629.46      2.69     12.16    759.43    113.30   6691.14   6960.20     25.92
  0.12    629.19      2.69     12.15    759.19    113.90   6727.07   6996.13     26.06
  0.13    628.93      2.69     12.15    758.94    114.50   6763.00   7032.07     26.19
  0.14    628.66      2.69     12.14    758.70    115.10   6798.93   7068.00     26.33
  0.15    628.39      2.69     12.14    758.45    115.70   6834.86   7103.94     26.47
  0.16    628.11      2.69     12.14    758.21    116.30   6870.80   7139.88     26.61
  0.17    627.84      2.69     12.13    757.96    116.90   6906.73   7175.81     26.75
  0.18    627.57      2.69     12.13    757.71    117.50   6942.66   7211.75     26.88
  0.19    627.29      2.68     12.12    757.46    118.10   6978.59   7247.68     27.02
  0.20    627.01      2.68     12.12    757.21    118.70   7014.52   7283.62     27.16
  0.21    626.73      2.68     12.11    756.95    119.30   7050.45   7319.56     27.30
  0.22    626.45      2.68     12.11    756.70    119.90   7086.38   7355.49     27.44
  0.23    626.17      2.68     12.11    756.44    120.50   7122.31   7391.43     27.57
  0.24    625.89      2.68     12.10    756.19    121.10   7158.24   7427.36     27.71
  0.25    625.60      2.68     12.10    755.93    121.70   7194.17   7463.30     27.85
  0.26    625.31      2.68     12.09    755.67    122.30   7230.11   7499.24     27.99
  0.27    625.03      2.68     12.09    755.41    122.90   7266.04   7535.17     28.13
  0.28    624.74      2.68     12.08    755.14    123.50   7301.97   7571.11     28.26
  0.29    624.45      2.68     12.08    754.88    124.10   7337.90   7607.04     28.40
  0.30    624.15      2.68     12.08    754.62    124.70   7373.83   7642.98     28.54
  0.31    623.86      2.68     12.07    754.35    125.30   7409.76   7678.92     28.68
  0.32    623.57      2.68     12.07    754.08    125.90   7445.69   7714.85     28.82
  0.33    623.27      2.68     12.06    753.81    126.50   7481.62   7750.79     28.95
  0.34    622.97      2.68     12.06    753.55    127.10   7517.55   7786.72     29.09
  0.35    622.67      2.68     12.05    753.27    127.70   7553.48   7822.66     29.23
  0.36    622.37      2.68     12.05    753.00    128.30   7589.42   7858.60     29.37
  0.37    622.07      2.68     12.04    752.73    128.90   7625.35   7894.53     29.51
  0.38    621.77      2.68     12.04    752.45    129.50   7661.28   7930.47     29.64
  0.39    621.46      2.68     12.03    752.18    130.10   7697.21   7966.40     29.78
  0.40    621.16      2.68     12.03    751.90    130.70   7733.14   8002.34     29.92
  0.41    620.85      2.68     12.03    751.62    131.30   7769.07   8038.28     30.06
  0.42    620.54      2.68     12.02    751.34    131.90   7805.00   8074.21     30.20
  0.43    620.23      2.68     12.02    751.06    132.50   7840.93   8110.15     30.33
  0.44    619.92      2.68     12.01    750.78    133.10   7876.86   8146.08     30.47
  0.45    619.60      2.68     12.01    750.49    133.70   7912.79   8182.02     30.61
  0.46    619.29      2.68     12.00    750.21    134.30   7948.73   8217.96     30.75
  0.47    618.97      2.68     12.00    749.92    134.90   7984.66   8253.89     30.89
  0.48    618.66      2.68     11.99    749.63    135.50   8020.59   8289.83     31.02
  0.49    618.34      2.68     11.99    749.34    136.10   8056.52   8325.76     31.16
  0.50    618.02      2.68     11.98    749.05    136.70   8092.45   8361.70     31.30
  0.51    617.69      2.68     11.98    748.76    137.30   8128.38   8397.64     31.44
  0.52    617.37      2.67     11.97    748.47    137.90   8164.31   8433.57     31.58
  0.53    617.05      2.67     11.97    748.17    138.50   8200.24   8469.51     31.71
  0.54    616.72      2.67     11.96    747.88    139.10   8236.17   8505.44     31.85
  0.55    616.39      2.67     11.96    747.58    139.70   8272.10   8541.38     31.99
  0.56    616.06      2.67     11.95    747.28    140.30   8308.04   8577.32     32.13
  0.57    615.73      2.67     11.95    746.98    140.90   8343.97   8613.25     32.27
  0.58    615.40      2.67     11.94    746.68    141.50   8379.90   8649.19     32.40
  0.59    615.07      2.67     11.94    746.38    142.10   8415.83   8685.12     32.54
  0.60    614.74      2.67     11.93    746.08    142.70   8451.76   8721.06     32.68
  0.61    614.40      2.67     11.93    745.77    143.30   8487.69   8757.00     32.82
  0.62    614.06      2.67     11.92    745.47    143.90   8523.62   8792.93     32.96
  0.63    613.72      2.67     11.92    745.16    144.50   8559.55   8828.87     33.09
  0.64    613.38      2.67     11.91    744.85    145.10   8595.48   8864.80     33.23
  0.65    613.04      2.67     11.91    744.54    145.70   8631.41   8900.74     33.37
  0.66    612.70      2.67     11.90    744.23    146.30   8667.35   8936.68     33.51
  0.67    612.35      2.67     11.90    743.92    146.90   8703.28   8972.61     33.65
  0.68    612.01      2.67     11.89    743.61    147.50   8739.21   9008.55     33.78
  0.69    611.66      2.67     11.88    743.29    148.10   8775.14   9044.48     33.92
  0.70    611.31      2.67     11.88    742.98    148.70   8811.07   9080.42     34.06
  0.71    610.96      2.67     11.87    742.66    149.30   8847.00   9116.36     34.20
  0.72    610.61      2.67     11.87    742.34    149.90   8882.93   9152.29     34.34
  0.73    610.26      2.67     11.86    742.02    150.50   8918.86   9188.23     34.47
  0.74    609.90      2.67     11.86    741.70    151.10   8954.79   9224.16     34.61
  0.75    609.55      2.67     11.85    741.38    151.70   8990.72   9260.10     34.75
  0.76    609.19      2.67     11.85    741.05    152.30   9026.66   9296.04     34.89
  0.77    608.83      2.67     11.84    740.73    152.90   9062.59   9331.97     35.03
  0.78    608.47      2.67     11.84    740.40    153.50   9098.52   9367.91     35.16
  0.79    608.11      2.67     11.83    740.07    154.10   9134.45   9403.84     35.30
  0.80    607.75      2.67     11.83    739.75    154.70   9170.38   9439.78     35.44
  0.81    607.38      2.66     11.82    739.42    155.30   9206.31   9475.72     35.58
  0.82    607.02      2.66     11.81    739.08    155.90   9242.24   9511.65     35.72
  0.83    606.65      2.66     11.81    738.75    156.50   9278.17   9547.59     35.85
  0.84    606.28      2.66     11.80    738.42    157.10   9314.10   9583.52     35.99
  0.85    605.91      2.66     11.80    738.08    157.70   9350.03   9619.46     36.13
  0.86    605.54      2.66     11.79    737.75    158.30   9385.97   9655.40     36.27
  0.87    605.17      2.66     11.79    737.41    158.90   9421.90   9691.33     36.41
  0.88    604.79      2.66     11.78    737.07    159.50   9457.83   9727.27     36.54
  0.89    604.42      2.66     11.77    736.73    160.10   9493.76   9763.20     36.68
  0.90    604.04      2.66     11.77    736.39    160.70   9529.69   9799.14     36.82
  0.91    603.66      2.66     11.76    736.04    161.30   9565.62   9835.08     36.96
  0.92    603.28      2.66     11.76    735.70    161.90   9601.55   9871.01     37.10
  0.93    602.90      2.66     11.75    735.35    162.50   9637.48   9906.95     37.23
  0.94    602.52      2.66     11.75    735.01    163.10   9673.41   9942.88     37.37
  0.95    602.14      2.66     11.74    734.66    163.70   9709.34   9978.82     37.51
  0.96    601.75      2.66     11.73    734.31    164.30   9745.28  10014.76     37.65
  0.97    601.36      2.66     11.73    733.96    164.90   9781.21  10050.69     37.79
  0.98    600.98      2.66     11.72    733.61    165.50   9817.14  10086.63     37.92
  0.99    600.59      2.66     11.72    733.25    166.10   9853.07  10122.56     38.06
  1.00    600.19      2.66     11.71    732.90    166.70   9889.00  10158.50     38.20
  1.01    599.80      2.66     11.70    732.54    166.86   9899.30  10168.79     38.24
  1.02    599.41      2.66     11.70    732.19    167.03   9909.60  10179.09     38.28
  1.03    599.02      2.66     11.69    731.83    167.19   9919.90  10189.38     38.31
  1.04    598.62      2.66     11.69    731.47    167.36   9930.20  10199.68     38.35
  1.05    598.23      2.66     11.68    731.12    167.52   9940.50  10209.97     38.39
  1.06    597.84      2.66     11.67    730.76    167.68   9950.80  10220.26     38.43
  1.07    597.44      2.65     11.67    730.40    167.85   9961.10  10230.56     38.47
  1.08    597.05      2.65     11.66    730.05    168.01   9971.40  10240.85     38.50
  1.09    596.65      2.65     11.66    729.69    168.18   9981.70  10251.15     38.54
  1.10    596.26      2.65     11.65    729.33    168.34   9992.00  10261.44     38.58
  1.11    595.86      2.65     11.64    728.97    168.50  10002.30  10271.73     38.62
  1.12    595.46      2.65     11.64    728.61    168.67  10012.60  10282.03     38.66
  1.13    595.07      2.65     11.63    728.25    168.83  10022.90  10292.32     38.69
  1.14    594.67      2.65     11.63    727.89    169.00  10033.20  10302.62     38.73
  1.15    594.27      2.65     11.62    727.53    169.16  10043.50  10312.91     38.77
  1.16    593.88      2.65     11.61    727.17    169.32  10053.80  10323.20     38.81
  1.17    593.48      2.65     11.61    726.81    169.49  10064.10  10333.50     38.85
  1.18    593.08      2.65     11.60    726.45    169.65  10074.40  10343.79     38.88
  1.19    592.68      2.65     11.60    726.09    169.82  10084.70  10354.09     38.92
  1.20    592.28      2.65     11.59    725.72    169.98  10095.00  10364.38     38.96
